|Frequenz(Bits/s)||Bitstringlänge||Anzahl fehlerhafter Bits||Anzahl fehlerhafter Zeichen||Fehlerrate Bits||Fehlerrate Zeichen||Falsche 1-Bits||Falsche 0-Bits||Threshold||Fenstergröße Empfänger(ns)||Fenstergröße Sender(ns)|
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|	100	 ||	554	 ||	    1   	   ||	         1  		||    0.18%	 ||    1.27%	     ||    0	     ||    1	     ||    173	||  	   6500000	    ||	8000000
|	100	 ||	23	 ||	    0   	   ||	         0  		||    0.00%	 ||    0.00%	     ||    0	     ||    0	     ||    173	||  	   6500000	    ||	8000000
|	100	 ||	1102	 ||	    0   	   ||	         0  		||    0.00%	 ||    0.00%	     ||    0	     ||    0	     ||    173	||  	   6500000	    ||	8000000
|	100	 ||	1762	 ||	    1   	   ||	         1  		||    0.06%	 ||    0.40%	     ||    0	     ||    1	     ||    173	||  	   6500000	    ||	8000000
|	100	 ||	361	 ||	    0   	   ||	         0  		||    0.00%	 ||    0.00%	     ||    0	     ||    0	     ||    173	||  	   6500000	    ||	8000000
|	100	 ||	1209	 ||	    0   	   ||	         0  		||    0.00%	 ||    0.00%	     ||    0	     ||    0	     ||    173	||  	   6500000	    ||	8000000
|	100	 ||	869	 ||	    0   	   ||	         0  		||    0.00%	 ||    0.00%	     ||    0	     ||    0	     ||    173	||  	   6500000	    ||	8000000
|	100	 ||	512	 ||	    0   	   ||	         0  		||    0.00%	 ||    0.00%	     ||    0	     ||    0	     ||    173	||  	   6500000	    ||	8000000
|	100	 ||	1852	 ||	    2   	   ||	         2  		||    0.11%	 ||    0.76%	     ||    0	     ||    2	     ||    173	||  	   6500000	    ||	8000000
|	100	 ||	1915	 ||	    1   	   ||	         1  		||    0.05%	 ||    0.37%	     ||    0	     ||    1	     ||    173	||  	   6500000	    ||	8000000
|	100	 ||	883	 ||	    2   	   ||	         2  		||    0.23%	 ||    1.59%	     ||    0	     ||    2	     ||    173	||  	   6500000	    ||	8000000
|	100	 ||	988	 ||	    0   	   ||	         0  		||    0.00%	 ||    0.00%	     ||    0	     ||    0	     ||    173	||  	   6500000	    ||	8000000
|	100	 ||	1727	 ||	    1   	   ||	         1  		||    0.06%	 ||    0.41%	     ||    0	     ||    1	     ||    173	||  	   6500000	    ||	8000000
|	100	 ||	1859	 ||	    1   	   ||	         1  		||    0.05%	 ||    0.38%	     ||    0	     ||    1	     ||    173	||  	   6500000	    ||	8000000
---------------------------------------------------------------------------------------Durchschnittswerte bei dieser Konfiguration--------------------------------------------------------------------------------------------
|	100	 ||	949.8	 ||	    0.9   	   ||	       0.8  		||    0.09%	 ||    0.55%	     ||  0.0	     ||    0.9	     ||    173	||  	   6500000	    ||	8000000
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|Frequenz(Bits/s)||Bitstringlänge||Anzahl fehlerhafter Bits||Anzahl fehlerhafter Zeichen||Fehlerrate Bits||Fehlerrate Zeichen||Falsche 1-Bits||Falsche 0-Bits||Threshold||Fenstergröße Empfänger(ns)||Fenstergröße Sender(ns)|
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|	250	 ||	1604	 ||	    1   	   ||	         1  		||    0.06%	 ||    0.44%	     ||    0	     ||    1	     ||    173	||  	   2600000	    ||	3200000
|	250	 ||	1382	 ||	    1   	   ||	         1  		||    0.07%	 ||    0.51%	     ||    0	     ||    1	     ||    173	||  	   2600000	    ||	3200000
|	250	 ||	1796	 ||	    0   	   ||	         0  		||    0.00%	 ||    0.00%	     ||    0	     ||    0	     ||    173	||  	   2600000	    ||	3200000
|	250	 ||	2016	 ||	    0   	   ||	         0  		||    0.00%	 ||    0.00%	     ||    0	     ||    0	     ||    173	||  	   2600000	    ||	3200000
|	250	 ||	1777	 ||	    1   	   ||	         1  		||    0.06%	 ||    0.40%	     ||    0	     ||    1	     ||    173	||  	   2600000	    ||	3200000
|	250	 ||	283	 ||	    0   	   ||	         0  		||    0.00%	 ||    0.00%	     ||    0	     ||    0	     ||    173	||  	   2600000	    ||	3200000
|	250	 ||	1695	 ||	    0   	   ||	         0  		||    0.00%	 ||    0.00%	     ||    0	     ||    0	     ||    173	||  	   2600000	    ||	3200000
